SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
46,AS,Assam,AS_Cachar,Cachar,6233,4692,1498,43,0,0,0,0,0,,
47,AS,Assam,AS_Charaideo,Charaideo,113,-3,105,11,0,0,0,0,0,,
48,AS,Assam,AS_Chirang,Chirang,280,53,219,8,0,0,0,0,0,,
49,AS,Assam,AS_Darrang,Darrang,1967,219,1730,18,0,0,0,0,0,,
50,AS,Assam,AS_Dhemaji,Dhemaji,765,317,440,8,0,0,0,0,0,,
51,AS,Assam,AS_Dhubri,Dhubri,1723,496,1215,12,0,0,0,0,0,,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,9511,7000,2409,102,0,0,0,0,0,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,237,36,199,2,0,0,0,0,0,,
54,AS,Assam,AS_Goalpara,Goalpara,658,38,568,10,0,0,0,0,0,,
55,AS,Assam,AS_Golaghat,Golaghat,3803,2101,1656,46,0,0,0,0,0,,
56,AS,Assam,AS_Hailakandi,Hailakandi,1632,509,1116,7,0,0,0,0,0,,
57,AS,Assam,AS_Hojai,Hojai,1646,472,1160,14,0,0,0,0,0,,
58,AS,Assam,AS_Jorhat,Jorhat,8771,6965,1752,54,0,0,0,0,0,,
59,AS,Assam,AS_Kamrup,Kamrup,4593,2484,2074,35,0,0,0,0,0,,
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,50403,34881,15370,152,0,0,0,0,0,,
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,632,69,552,11,0,0,0,0,0,,
62,AS,Assam,AS_Karimganj,Karimganj,1206,225,955,26,0,0,0,0,0,,
63,AS,Assam,AS_Kokrajhar,Kokrajhar,408,43,353,12,0,0,0,0,0,,
64,AS,Assam,AS_Lakhimpur,Lakhimpur,3006,1847,1135,24,0,0,0,0,0,,
65,AS,Assam,AS_Majuli,Majuli,165,79,80,6,0,0,0,0,0,,
66,AS,Assam,AS_Morigaon,Morigaon,638,72,557,9,0,0,0,0,0,,
67,AS,Assam,AS_Nagaon,Nagaon,4523,1991,2506,26,0,0,0,0,0,,
68,AS,Assam,AS_Nalbari,Nalbari,948,103,828,17,0,0,0,0,0,,
0,AS,Assam,AS_Other State,Other State,1,0,1,0,0,0,0,0,0,,
69,AS,Assam,AS_Sivasagar,Sivasagar,529,21,473,35,0,0,0,0,0,,
70,AS,Assam,AS_Sonitpur,Sonitpur,2548,802,1727,19,0,0,0,0,0,,
71,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,53,5,47,1,0,0,0,0,0,,
72,AS,Assam,AS_Tinsukia,Tinsukia,3375,1534,1798,43,0,0,0,0,0,,
73,AS,Assam,AS_Udalguri,Udalguri,758,84,666,8,0,0,0,0,0,,
74,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,39,1,37,1,0,0,0,0,0,,
75,BR,Bihar,BR_Araria,Araria,7233,40,7171,22,0,1,-1,2,0,,
76,BR,Bihar,BR_Arwal,Arwal,2404,26,2366,12,0,0,-6,6,0,,
77,BR,Bihar,BR_Aurangabad,Aurangabad,5423,39,5368,16,0,3,2,1,0,,
78,BR,Bihar,BR_Banka,Banka,3562,127,3415,20,0,8,8,0,0,,
79,BR,Bihar,BR_Begusarai,Begusarai,8043,56,7951,36,0,8,-10,18,0,,
80,BR,Bihar,BR_Bhagalpur,Bhagalpur,9510,109,9323,78,0,8,6,2,0,,
81,BR,Bihar,BR_Bhojpur,Bhojpur,5092,12,5033,47,0,1,-6,7,0,,
82,BR,Bihar,BR_Buxar,Buxar,4015,17,3978,20,0,1,0,1,0,,
83,BR,Bihar,BR_Darbhanga,Darbhanga,4232,60,4135,37,0,4,-11,14,1,,
101,BR,Bihar,BR_East Champaran,East Champaran,8424,39,8334,51,0,1,-6,7,0,,
84,BR,Bihar,BR_Gaya,Gaya,7927,69,7798,60,0,2,0,2,0,,
85,BR,Bihar,BR_Gopalganj,Gopalganj,5801,29,5757,15,0,1,1,0,0,,
86,BR,Bihar,BR_Jamui,Jamui,3154,11,3133,10,0,0,0,0,0,,
87,BR,Bihar,BR_Jehanabad,Jehanabad,4571,11,4536,24,0,1,1,0,0,,
88,BR,Bihar,BR_Kaimur,Kaimur,2205,25,2170,10,0,1,1,0,0,,
89,BR,Bihar,BR_Katihar,Katihar,7219,12,7195,12,0,0,-1,1,0,,
90,BR,Bihar,BR_Khagaria,Khagaria,3131,13,3105,13,0,1,-4,5,0,,
91,BR,Bihar,BR_Kishanganj,Kishanganj,4312,6,4293,13,0,0,-1,1,0,,
92,BR,Bihar,BR_Lakhisarai,Lakhisarai,3800,169,3622,9,0,2,1,1,0,,
93,BR,Bihar,BR_Madhepura,Madhepura,4863,20,4826,17,0,1,0,1,0,,
94,BR,Bihar,BR_Madhubani,Madhubani,7696,4,7658,34,0,3,2,1,0,,
95,BR,Bihar,BR_Munger,Munger,4239,33,4154,52,0,3,-1,4,0,,
96,BR,Bihar,BR_Muzaffarpur,Muzaffarpur,11871,59,11766,46,0,2,-7,9,0,,
97,BR,Bihar,BR_Nalanda,Nalanda,8302,31,8213,58,0,3,-12,15,0,,
98,BR,Bihar,BR_Nawada,Nawada,4219,92,4103,24,0,5,3,2,0,,
100,BR,Bihar,BR_Patna,Patna,51920,937,50575,408,0,61,-4,63,2,,
102,BR,Bihar,BR_Purnia,Purnia,9357,24,9308,25,0,2,2,0,0,,
103,BR,Bihar,BR_Rohtas,Rohtas,6821,39,6737,45,0,4,-6,10,0,,
104,BR,Bihar,BR_Saharsa,Saharsa,6827,39,6776,12,0,3,1,2,0,,
105,BR,Bihar,BR_Samastipur,Samastipur,5287,21,5231,35,0,5,-3,8,0,,
106,BR,Bihar,BR_Saran,Saran,7358,103,7195,60,0,0,-10,10,0,,
107,BR,Bihar,BR_Sheikhpura,Sheikhpura,2994,0,2981,13,0,1,0,1,0,,
108,BR,Bihar,BR_Sheohar,Sheohar,1515,30,1484,1,0,3,3,0,0,,
109,BR,Bihar,BR_Sitamarhi,Sitamarhi,4440,94,4329,17,0,3,2,0,1,,
110,BR,Bihar,BR_Siwan,Siwan,4775,8,4732,35,0,0,-3,3,0,,
111,BR,Bihar,BR_Supaul,Supaul,5616,10,5587,19,0,2,1,1,0,,
112,BR,Bihar,BR_Vaishali,Vaishali,5571,50,5473,47,1,4,1,3,0,,
99,BR,Bihar,BR_West Champaran,West Champaran,6037,84,5930,23,0,1,-1,2,0,,
113,CH,Chandigarh,CH_Chandigarh,Chandigarh,20686,127,20226,333,0,22,-10,31,1,,
0,CT,Chhattisgarh,CT_Other State,Other State,473,19,394,60,0,0,0,0,0,,
114,CT,Chhattisgarh,CT_Balod,Balod,9760,353,9309,98,0,0,0,0,0,,
115,CT,Chhattisgarh,CT_Baloda Bazar,Baloda Bazar,9453,44,9273,136,0,0,0,0,0,,
116,CT,Chhattisgarh,CT_Balrampur,Balrampur,3640,35,3590,15,0,0,0,0,0,,
117,CT,Chhattisgarh,CT_Bametara,Bametara,4798,221,4520,57,0,0,0,0,0,,
118,CT,Chhattisgarh,CT_Bastar,Bastar,7714,121,7509,84,0,0,0,0,0,,
119,CT,Chhattisgarh,CT_Bijapur,Bijapur,4012,9,3975,28,0,0,0,0,0,,
120,CT,Chhattisgarh,CT_Bilaspur,Bilaspur,19430,167,19054,209,0,0,0,0,0,,
121,CT,Chhattisgarh,CT_Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,5928,15,5897,16,0,0,0,0,0,,
122,CT,Chhattisgarh,CT_Dhamtari,Dhamtari,8483,182,8178,123,0,0,0,0,0,,
123,CT,Chhattisgarh,CT_Durg,Durg,24624,674,23347,603,0,0,0,0,0,,
124,CT,Chhattisgarh,CT_Gariaband,Gariaband,4111,27,4032,52,0,0,0,0,0,,
125,CT,Chhattisgarh,CT_Janjgir Champa,Janjgir Champa,19492,94,19173,225,0,0,0,0,0,,
126,CT,Chhattisgarh,CT_Jashpur,Jashpur,3818,97,3689,32,0,0,0,0,0,,
127,CT,Chhattisgarh,CT_Kabeerdham,Kabeerdham,5749,26,5653,70,0,0,0,0,0,,
128,CT,Chhattisgarh,CT_Kondagaon,Kondagaon,5150,14,5105,31,0,0,0,0,0,,
129,CT,Chhattisgarh,CT_Korba,Korba,16594,52,16423,119,0,0,0,0,0,,
130,CT,Chhattisgarh,CT_Koriya,Koriya,5182,51,5094,37,0,0,0,0,0,,
131,CT,Chhattisgarh,CT_Mahasamund,Mahasamund,8631,80,8423,128,0,0,0,0,0,,
132,CT,Chhattisgarh,CT_Mungeli,Mungeli,3978,58,3893,27,0,0,0,0,0,,
133,CT,Chhattisgarh,CT_Narayanpur,Narayanpur,1934,35,1897,2,0,0,0,0,0,,
134,CT,Chhattisgarh,CT_Raigarh,Raigarh,22287,125,21862,300,0,0,0,0,0,,
135,CT,Chhattisgarh,CT_Raipur,Raipur,55590,1861,52968,761,0,0,0,0,0,,
136,CT,Chhattisgarh,CT_Rajnandgaon,Rajnandgaon,19521,471,18873,177,0,0,0,0,0,,
137,CT,Chhattisgarh,CT_Sukma,Sukma,3791,54,3727,10,0,0,0,0,0,,
138,CT,Chhattisgarh,CT_Surajpur,Surajpur,6221,109,6070,42,0,0,0,0,0,,
139,CT,Chhattisgarh,CT_Surguja,Surguja,8142,200,7852,90,0,0,0,0,0,,
140,CT,Chhattisgarh,CT_Uttar Bastar Kanker,Uttar Bastar Kanker,6272,27,6186,59,0,0,0,0,0,,
766,CT,Chhattisgarh,CT_Gaurela Pendra Marwahi,Gaurela Pendra Marwahi,1171,87,1074,10,0,0,0,0,0,,
144,DL,Delhi,DL_Central Delhi,Central Delhi,184,184,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
145,DL,Delhi,DL_East Delhi,East Delhi,38,38,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
146,DL,Delhi,DL_New Delhi,New Delhi,37,37,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
147,DL,Delhi,DL_North Delhi,North Delhi,60,60,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
148,DL,Delhi,DL_North East Delhi,North East Delhi,25,25,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
149,DL,Delhi,DL_North West Delhi,North West Delhi,32,31,0,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
150,DL,Delhi,DL_Shahdara,Shahdara,48,48,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
151,DL,Delhi,DL_South Delhi,South Delhi,70,70,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
152,DL,Delhi,DL_South East Delhi,South East Delhi,130,130,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
153,DL,Delhi,DL_South West Delhi,South West Delhi,42,42,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
154,DL,Delhi,DL_West Delhi,West Delhi,122,122,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Other State,Other State,0,0,0,0,0,0,0,0,0,,
141,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli,Dadra and Nagar Haveli,1653,4,1643,1,5,0,0,0,0,,
142,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Daman,Daman,1412,3,1384,1,24,0,0,0,0,,
143,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Diu,Diu,312,3,309,0,0,0,0,0,0,,
0,GA,Goa,GA_Other State,Other State,200,9,190,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
155,GA,Goa,GA_North Goa,North Goa,2668,1639,964,65,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
156,GA,Goa,GA_South Goa,South Goa,3511,1978,1407,126,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,GJ,Gujarat,GJ_Other State,Other State,162,0,159,3,0,0,0,0,0,,
157,GJ,Gujarat,GJ_Ahmedabad,Ahmedabad,60335,1991,56058,2286,0,0,0,0,0,,
158,GJ,Gujarat,GJ_Amreli,Amreli,3868,49,3786,33,0,0,0,0,0,,
159,GJ,Gujarat,GJ_Anand,Anand,2460,49,2394,17,0,0,0,0,0,,
160,GJ,Gujarat,GJ_Aravalli,Aravalli,1194,14,1154,26,0,0,0,0,0,,
161,GJ,Gujarat,GJ_Banaskantha,Banaskantha,4679,-51,4692,38,0,0,0,0,0,,
162,GJ,Gujarat,GJ_Bharuch,Bharuch,4082,56,4008,18,0,0,0,0,0,,
163,GJ,Gujarat,GJ_Bhavnagar,Bhavnagar,6007,56,5883,68,0,0,0,0,0,,
164,GJ,Gujarat,GJ_Botad,Botad,1046,60,972,14,0,0,0,0,0,,
165,GJ,Gujarat,GJ_Chhota Udaipur,Chhota Udaipur,905,8,894,3,0,0,0,0,0,,
167,GJ,Gujarat,GJ_Dahod,Dahod,3264,37,3220,7,0,0,0,0,0,,
187,GJ,Gujarat,GJ_Dang,Dang,177,9,167,1,0,0,0,0,0,,
166,GJ,Gujarat,GJ_Devbhumi Dwarka,Devbhumi Dwarka,1092,30,1057,5,0,0,0,0,0,,
168,GJ,Gujarat,GJ_Gandhinagar,Gandhinagar,8478,59,8312,107,0,0,0,0,0,,
169,GJ,Gujarat,GJ_Gir Somnath,Gir Somnath,2456,49,2383,24,0,0,0,0,0,,
170,GJ,Gujarat,GJ_Jamnagar,Jamnagar,10437,77,10325,35,0,0,0,0,0,,
171,GJ,Gujarat,GJ_Junagadh,Junagadh,5217,55,5129,33,0,0,0,0,0,,
173,GJ,Gujarat,GJ_Kheda,Kheda,3161,43,3102,16,0,0,0,0,0,,
172,GJ,Gujarat,GJ_Kutch,Kutch,4364,87,4244,33,0,0,0,0,0,,
175,GJ,Gujarat,GJ_Mahisagar,Mahisagar,1997,10,1980,7,0,0,0,0,0,,
174,GJ,Gujarat,GJ_Mehsana,Mehsana,6934,54,6842,38,0,0,0,0,0,,
176,GJ,Gujarat,GJ_Morbi,Morbi,3225,68,3138,19,0,0,0,0,0,,
177,GJ,Gujarat,GJ_Narmada,Narmada,2047,36,2010,1,0,0,0,0,0,,
178,GJ,Gujarat,GJ_Navsari,Navsari,1625,8,1609,8,0,0,0,0,0,,
179,GJ,Gujarat,GJ_Panchmahal,Panchmahal,4223,23,4178,22,0,0,0,0,0,,
180,GJ,Gujarat,GJ_Patan,Patan,4222,10,4159,53,0,0,0,0,0,,
181,GJ,Gujarat,GJ_Porbandar,Porbandar,721,5,712,4,0,0,0,0,0,,
182,GJ,Gujarat,GJ_Rajkot,Rajkot,21818,676,20944,198,0,0,0,0,0,,
183,GJ,Gujarat,GJ_Sabarkantha,Sabarkantha,2952,67,2872,13,0,0,0,0,0,,
184,GJ,Gujarat,GJ_Surat,Surat,51877,602,50300,975,0,0,0,0,0,,
185,GJ,Gujarat,GJ_Surendranagar,Surendranagar,3520,57,3450,13,0,0,0,0,0,,
186,GJ,Gujarat,GJ_Tapi,Tapi,1068,5,1056,7,0,0,0,0,0,,
188,GJ,Gujarat,GJ_Vadodara,Vadodara,27257,832,26185,240,0,0,0,0,0,,
189,GJ,Gujarat,GJ_Valsad,Valsad,1394,9,1376,9,0,0,0,0,0,,
212,HP,Himachal Pradesh,HP_Bilaspur,Bilaspur,2911,12,2874,24,1,0,0,0,0,,
213,HP,Himachal Pradesh,HP_Chamba,Chamba,2942,21,2868,51,2,0,0,0,0,One death of COVID-19 positive patient has occured due to non-covid reasons,
214,HP,Himachal Pradesh,HP_Hamirpur,Hamirpur,3025,46,2930,48,1,0,0,0,0,,
215,HP,Himachal Pradesh,HP_Kangra,Kangra,8140,100,7839,199,2,0,0,0,0,Death of Tibetan refugee on March 22 included in Kangra district's tally,
216,HP,Himachal Pradesh,HP_Kinnaur,Kinnaur,1338,6,1316,16,0,0,0,0,0,,
217,HP,Himachal Pradesh,HP_Kullu,Kullu,4403,10,4308,83,2,0,0,0,0,,
218,HP,Himachal Pradesh,HP_Lahaul and Spiti,Lahaul and Spiti,1258,7,1239,12,0,0,0,0,0,,
219,HP,Himachal Pradesh,HP_Mandi,Mandi,9896,49,9720,123,4,0,0,0,0,,
220,HP,Himachal Pradesh,HP_Shimla,Shimla,10319,57,9996,262,4,0,0,0,0,One death of COVID-19 positive patient has occured due to non-covid reasons,
221,HP,Himachal Pradesh,HP_Sirmaur,Sirmaur,3394,110,3255,29,0,0,0,0,0,,
222,HP,Himachal Pradesh,HP_Solan,Solan,6682,54,6557,71,0,0,0,0,0,,
223,HP,Himachal Pradesh,HP_Una,Una,2854,44,2770,40,0,0,0,0,0,,
0,HR,Haryana,HR_Foreign Evacuees,Foreign Evacuees,0,0,0,0,0,0,0,0,0,,
190,HR,Haryana,HR_Ambala,Ambala,11807,86,11577,144,0,14,9,5,0,,
191,HR,Haryana,HR_Bhiwani,Bhiwani,6313,9,6160,144,0,2,0,1,1,,
192,HR,Haryana,HR_Charkhi Dadri,Charkhi Dadri,1516,11,1479,26,0,0,-1,1,0,,
193,HR,Haryana,HR_Faridabad,Faridabad,46162,233,45517,412,0,23,-11,34,0,,
194,HR,Haryana,HR_Fatehabad,Fatehabad,4714,9,4587,118,0,2,2,0,0,,
195,HR,Haryana,HR_Gurugram,Gurugram,57989,414,57223,352,0,24,-9,33,0,,
196,HR,Haryana,HR_Hisar,Hisar,17064,9,16732,323,0,3,1,2,0,,
0,HR,Haryana,HR_Italians,Italians,0,0,0,0,0,0,0,0,0,,
197,HR,Haryana,HR_Jhajjar,Jhajjar,5858,5,5751,102,0,0,-2,2,0,,
198,HR,Haryana,HR_Jind,Jind,4869,36,4739,94,0,1,-6,7,0,,
199,HR,Haryana,HR_Kaithal,Kaithal,3851,23,3774,54,0,2,-1,3,0,,
200,HR,Haryana,HR_Karnal,Karnal,11085,90,10843,152,0,7,-4,11,0,,
201,HR,Haryana,HR_Kurukshetra,Kurukshetra,8803,74,8596,133,0,2,-1,3,0,,
202,HR,Haryana,HR_Mahendragarh,Mahendragarh,6610,12,6577,21,0,0,0,0,0,,
203,HR,Haryana,HR_Nuh,Nuh,1702,1,1671,30,0,0,0,0,0,,
204,HR,Haryana,HR_Palwal,Palwal,4420,15,4376,29,0,0,-3,1,2,,
205,HR,Haryana,HR_Panchkula,Panchkula,10445,189,10109,147,0,9,-13,22,0,,
206,HR,Haryana,HR_Panipat,Panipat,10712,94,10465,153,0,23,12,11,0,,
207,HR,Haryana,HR_Rewari,Rewari,11369,50,11243,76,0,1,1,0,0,,
208,HR,Haryana,HR_Rohtak,Rohtak,12243,41,12054,148,0,5,0,5,0,,
209,HR,Haryana,HR_Sirsa,Sirsa,8044,42,7886,116,0,1,-3,4,0,,
210,HR,Haryana,HR_Sonipat,Sonipat,14757,29,14644,84,0,5,-9,13,1,,
211,HR,Haryana,HR_Yamunanagar,Yamunanagar,6742,87,6504,151,0,12,12,0,0,,
246,JH,Jharkhand,JH_Bokaro,Bokaro,6665,35,6567,63,0,0,0,0,0,,
247,JH,Jharkhand,JH_Chatra,Chatra,1424,15,1398,11,0,0,0,0,0,,
248,JH,Jharkhand,JH_Deoghar,Deoghar,3651,7,3621,23,0,0,0,0,0,,
249,JH,Jharkhand,JH_Dhanbad,Dhanbad,7707,49,7547,111,0,0,0,0,0,,
250,JH,Jharkhand,JH_Dumka,Dumka,1393,6,1373,14,0,0,0,0,0,,
264,JH,Jharkhand,JH_East Singhbhum,East Singhbhum,18262,121,17785,356,0,0,0,0,0,,
251,JH,Jharkhand,JH_Garhwa,Garhwa,2823,8,2802,13,0,0,0,0,0,,
252,JH,Jharkhand,JH_Giridih,Giridih,3424,2,3408,14,0,0,0,0,0,,
253,JH,Jharkhand,JH_Godda,Godda,2104,16,2078,10,0,0,0,0,0,,
254,JH,Jharkhand,JH_Gumla,Gumla,2320,41,2273,6,0,0,0,0,0,,
255,JH,Jharkhand,JH_Hazaribagh,Hazaribagh,4432,21,4374,37,0,0,0,0,0,,
256,JH,Jharkhand,JH_Jamtara,Jamtara,1265,9,1252,4,0,0,0,0,0,,
257,JH,Jharkhand,JH_Khunti,Khunti,2132,7,2118,7,0,0,0,0,0,,
258,JH,Jharkhand,JH_Koderma,Koderma,3456,11,3417,28,0,0,0,0,0,,
259,JH,Jharkhand,JH_Latehar,Latehar,1950,38,1905,7,0,0,0,0,0,,
260,JH,Jharkhand,JH_Lohardaga,Lohardaga,1803,36,1757,10,0,0,0,0,0,,
261,JH,Jharkhand,JH_Pakur,Pakur,902,0,900,2,0,0,0,0,0,,
262,JH,Jharkhand,JH_Palamu,Palamu,3627,16,3587,24,0,0,0,0,0,,
265,JH,Jharkhand,JH_Ramgarh,Ramgarh,4519,12,4479,28,0,0,0,0,0,,
266,JH,Jharkhand,JH_Ranchi,Ranchi,32102,495,31379,228,0,0,0,0,0,,
267,JH,Jharkhand,JH_Sahibganj,Sahibganj,1638,1,1628,9,0,0,0,0,0,,
268,JH,Jharkhand,JH_Saraikela-Kharsawan,Saraikela-Kharsawan,3685,6,3667,12,0,0,0,0,0,,
269,JH,Jharkhand,JH_Simdega,Simdega,2044,15,2024,5,0,0,0,0,0,,
263,JH,Jharkhand,JH_West Singhbhum,West Singhbhum,4826,11,4777,38,0,0,0,0,0,,
224,JK,Jammu and Kashmir,JK_Anantnag,Anantnag,4873,49,4740,84,0,8,5,3,0,,
226,JK,Jammu and Kashmir,JK_Bandipora,Bandipora,4685,25,4599,61,0,0,-2,2,0,,
227,JK,Jammu and Kashmir,JK_Baramulla,Baramulla,8081,51,7857,173,0,3,-3,6,0,,
225,JK,Jammu and Kashmir,JK_Budgam,Budgam,7744,52,7575,117,0,6,2,4,0,,
228,JK,Jammu and Kashmir,JK_Doda,Doda,3428,5,3359,64,0,0,0,0,0,,
